ORDERNUMBER,SALES,ORDERDATE,PRODUCTLINE,COUNTRY,QUANTITYORDERED,CUSTOMERNAME,STATUS,YEAR,MONTH,QUARTER
10513,112454.15,2025-10-05,passenger vehicles,Germany,10,MaxMove Transport,Delivered,2025,2025-10,2025Q4
10514,34173.87,2025-02-17,passenger vehicles,Australia,84,Sims-Ortiz,In Process,2025,2025-02,2025Q1
10515,87484.19,2025-03-18,passenger vehicles,Uk,65,DriveTech Distributors,On Hold,2025,2025-03,2025Q1
10516,29585.47,2025-08-31,passenger vehicles,Italy,38,EuroFleet Systems,In Process,2025,2025-08,2025Q3
10518,50996.59,2025-04-02,semi-trailers,Canada,15,AutoNation Dealers,Delivered,2025,2025-04,2025Q2
10519,112618.98,2025-08-25,trailers,Germany,60,"Mack, Thomas and Mendoza",In Process,2025,2025-08,2025Q3
10520,95117.42,2025-02-22,passenger vehicles,France,79,EuroFleet Systems,Shipped,2025,2025-02,2025Q1
10521,45883.89,2025-02-19,engine systems,Usa,47,Garcia Group,In Process,2025,2025-02,2025Q1
10522,45198.26,2025-03-08,commercial trucks,Uk,51,FleetX Logistics Ltd.,Shipped,2025,2025-03,2025Q1
10523,34866.76,2025-03-04,passenger vehicles,Australia,39,MetroFleet Auto Group,In Process,2025,2025-03,2025Q1
10524,69384.53,2025-08-17,passenger vehicles,Canada,76,Velocity Vehicles,Shipped,2025,2025-08,2025Q3
10525,44478.33,2025-02-25,passenger vehicles,Australia,71,Farley Group,Delivered,2025,2025-02,2025Q1
10526,85098.38,2025-06-07,commercial trucks,Uk,73,"Sparks, Kim and Jackson",Delivered,2025,2025-06,2025Q2
10527,50200.43,2025-10-26,trailers,Japan,28,Velocity Vehicles,Shipped,2025,2025-10,2025Q4
10528,38646.66,2025-12-20,passenger vehicles,France,53,MaxMove Transport,In Process,2025,2025-12,2025Q4
10529,77844.01,2025-12-01,passenger vehicles,Germany,52,FleetX Logistics Ltd.,Shipped,2025,2025-12,2025Q4
10530,52029.79,2025-07-23,transmission units,Japan,48,Velocity Vehicles,Delivered,2025,2025-07,2025Q3
10531,54863.78,2025-09-06,engine systems,Germany,70,FleetX Logistics Ltd.,Shipped,2025,2025-09,2025Q3
10532,105399.65,2025-12-06,electrical systems,Uk,21,TransGlobal Motors,Delivered,2025,2025-12,2025Q4
10533,9739.94,2025-07-09,chassis components,Canada,57,Velocity Vehicles,Delivered,2025,2025-07,2025Q3
10534,28144.08,2025-01-16,passenger vehicles,Usa,79,EuroFleet Systems,Delivered,2025,2025-01,2025Q1
10535,24005.0,2025-03-30,transmission units,Uk,8,MetroFleet Auto Group,Delivered,2025,2025-03,2025Q1
10536,33673.38,2025-08-10,passenger vehicles,Usa,88,AutoNation Dealers,Cancelled,2025,2025-08,2025Q3
10537,101653.97,2025-12-05,passenger vehicles,Italy,41,MaxMove Transport,Disputed,2025,2025-12,2025Q4
10538,49591.65,2025-08-04,passenger vehicles,France,76,TransGlobal Motors,Delivered,2025,2025-08,2025Q3
10539,19435.85,2025-06-01,passenger vehicles,France,25,FleetX Logistics Ltd.,Shipped,2025,2025-06,2025Q2
10540,15864.06,2025-12-12,passenger vehicles,Australia,75,DriveTech Distributors,Delivered,2025,2025-12,2025Q4
10541,54068.47,2025-05-02,passenger vehicles,Australia,80,FleetX Logistics Ltd.,In Process,2025,2025-05,2025Q2
10542,35609.65,2025-08-22,passenger vehicles,Australia,92,FleetX Logistics Ltd.,Resolved,2025,2025-08,2025Q3
10544,84218.99,2025-09-24,passenger vehicles,Japan,34,MetroFleet Auto Group,In Process,2025,2025-09,2025Q3
10545,56254.68,2025-01-20,passenger vehicles,Uk,90,AutoNation Dealers,Shipped,2025,2025-01,2025Q1
10546,107865.56,2025-10-11,engine systems,Italy,53,AutoNation Dealers,In Process,2025,2025-10,2025Q4
10547,15303.33,2025-06-30,chassis components,Uk,3,TransGlobal Motors,Delivered,2025,2025-06,2025Q2
10548,119965.91,2025-04-25,semi-trailers,Usa,30,EuroFleet Systems,Shipped,2025,2025-04,2025Q2
10549,63502.73,2025-08-21,trailers,Australia,30,MetroFleet Auto Group,Delivered,2025,2025-08,2025Q3
